time,time_milisec,gx,gy,gz,resultant
49:26.4,1.42163E+12,3.0739107,0.8089799,-0.392233,3.202689838
49:26.4,1.42163E+12,2.4386644,0.7258437,0.26219887,2.557866568
49:26.5,1.42163E+12,0.6086002,-0.70239544,0.17266738,0.945287037
49:26.5,1.42163E+12,-0.392233,-0.74716103,0.21210374,0.870105929
49:26.5,1.42163E+12,-0.39116722,-0.676815,0.43060333,0.892473846
49:26.5,1.42163E+12,-2.0261812,-0.02238307,-0.092729405,2.028425498
49:26.5,1.42163E+12,-2.5079453,-0.5958104,-0.9017093,2.73090815
49:26.6,1.42163E+12,-2.54525,-1.0413357,-0.9134339,2.897764499
49:26.6,1.42163E+12,-2.6667569,-1.4612807,-0.6523003,3.110052946
49:26.6,1.42163E+12,-3.1868918,-2.6614277,-0.66295904,4.204639275
49:26.6,1.42163E+12,-3.3403742,-3.3137279,-1.0647845,4.824174377
49:26.6,1.42163E+12,-3.1879575,-0.017053818,-1.3738809,3.471442435
49:26.7,1.42163E+12,-2.4024262,3.0003674,-0.2728579,3.853350181
49:26.7,1.42163E+12,-1.182028,4.978585,-0.07887298,5.117589251
49:26.7,1.42163E+12,-0.14602192,3.7102237,-1.8311304,4.140062904
49:26.7,1.42163E+12,-1.0136236,-2.2350879,-2.1498199,3.262633342
49:26.7,1.42163E+12,-1.0360065,-2.246812,-1.3141936,2.801531447
49:26.8,1.42163E+12,-0.7183832,-2.2969072,-0.735437,2.51649055
49:26.8,1.42163E+12,-0.16627286,-2.4024262,-0.17799717,2.414742492
49:26.8,1.42163E+12,0.58941454,-1.6563312,0.13856028,1.763530974
49:26.8,1.42163E+12,2.1444898,-0.5435837,0.3826398,2.245157669
49:26.8,1.42163E+12,3.591914,0.8452186,0.48496163,3.721750723
49:26.9,1.42163E+12,3.700631,2.0666828,0.7492921,4.304333426
49:26.9,1.42163E+12,0.33041307,1.4399632,0.4220764,1.536494485
49:26.9,1.42163E+12,-3.2668304,2.8554118,-1.1404599,4.486224046
49:26.9,1.42163E+12,0.4114179,6.644508,-0.97525334,6.728288811
49:26.9,1.42163E+12,-1.5294952,2.5228665,-0.10125605,2.952027055
49:27.0,1.42163E+12,-1.1585792,1.7884961,1.0679814,2.383612454
49:27.0,1.42163E+12,-0.18865593,-0.70132965,1.4431607,1.615601171
49:27.0,1.42163E+12,0.02557993,-0.5851519,1.5422845,1.649757121
49:27.0,1.42163E+12,-0.011724833,-0.45511797,2.7136536,2.751578765
49:27.0,1.42163E+12,2.6294515,-4.571431,2.2297578,5.725715364
49:27.1,1.42163E+12,4.9689927,-4.15575,1.4730042,6.6431083
49:27.1,1.42163E+12,2.4493232,1.8726981,0.91449916,3.215974351
49:27.1,1.42163E+12,2.663559,0.040501885,-0.10658503,2.665998372
49:27.1,1.42163E+12,3.3478346,-0.054358847,-0.11191455,3.350145707
49:27.1,1.42163E+12,2.4322696,1.5977086,0.23342101,2.919433771
49:27.2,1.42163E+12,0.657629,-0.49775228,0.05542411,0.826622687
49:27.2,1.42163E+12,-0.4284717,-0.74502945,0.049028795,0.860848826
49:27.2,1.42163E+12,-0.5254643,-0.13856082,0.4284712,0.692025578
49:27.2,1.42163E+12,-2.0965273,-0.23555313,-0.09699259,2.111946865
49:27.2,1.42163E+12,-2.5697646,-0.86333877,-0.81537575,2.830879995
49:27.3,1.42163E+12,-2.473838,-1.0018996,-0.61819345,2.739678886
49:27.3,1.42163E+12,-2.7317736,-1.644607,-0.3943649,3.212918122
49:27.3,1.42163E+12,-3.1730359,-2.6656911,-0.4625791,4.169897515
49:27.3,1.42163E+12,-3.0941627,-3.2657647,-1.0829041,4.627282483
49:27.3,1.42163E+12,-3.200748,-0.44126236,-1.4165149,3.527890969
49:27.4,1.42163E+12,-2.63265,2.9364164,-0.7205148,4.009055858
49:27.4,1.42163E+12,-1.308864,4.9167657,-0.37944293,5.102125719
49:27.4,1.42163E+12,-0.057556238,4.0875344,-1.4783343,4.347036059
49:27.4,1.42163E+12,-0.71092236,-1.0743773,-2.0048642,2.383102525
49:27.4,1.42163E+12,-0.9805823,-2.9833143,-1.5977094,3.523404772
49:27.5,1.42163E+12,-0.33680892,-2.303302,-0.71092236,2.433937336
49:27.5,1.42163E+12,0.27179158,-2.358726,-0.18439221,2.381482625
49:27.5,1.42163E+12,0.7802021,-1.9654275,0.23342101,2.127464675
49:27.5,1.42163E+12,1.8716323,-0.8921166,0.6139292,2.162357176
49:27.6,1.42163E+12,3.1016233,0.4689736,0.99124,3.28976596
49:27.6,1.42163E+12,3.6366796,1.5380213,1.0754426,4.092373983
49:27.6,1.42163E+12,1.923859,2.407755,0.48389584,3.119723189
49:27.6,1.42163E+12,-2.3001046,2.2532065,-0.6938685,3.293762924
49:27.6,1.42163E+12,-0.48815957,5.9112034,-0.9336848,6.004364472
49:27.6,1.42163E+12,-0.2717921,3.499185,-0.24727744,3.518424753
49:27.7,1.42163E+12,-1.5220342,1.9259907,0.19611599,2.462618477
49:27.7,1.42163E+12,0.14708692,0.06608235,1.7202817,1.727822493
49:27.7,1.42163E+12,0.44659054,-1.0317432,1.4708726,1.851324754
49:27.7,1.42163E+12,-0.18012902,-0.02238307,2.376845,2.383765848
49:27.7,1.42163E+12,1.418646,-4.0193205,2.4002938,4.891717907
49:27.8,1.42163E+12,4.504282,-5.8909535,1.6467379,7.596290883
49:27.8,1.42163E+12,3.5460823,1.1393932,0.9304869,3.839104376
49:27.8,1.42163E+12,2.8554118,2.1668727,-0.10019025,3.585910196
49:27.8,1.42163E+12,3.322254,0.8217698,-0.42527434,3.448700554
49:27.9,1.42163E+12,1.9984683,0.62565374,0.27179158,2.111679145
49:27.9,1.42163E+12,0.64164126,-0.741832,0.13536288,0.990121877
49:27.9,1.42163E+12,-0.2248949,-0.5627688,0.34959874,0.699646852
49:27.9,1.42163E+12,-0.5275962,-0.6320494,0.551044,0.990703631
49:27.9,1.42163E+12,-1.9867448,0.027712055,0.12577018,1.990914613
49:27.9,1.42163E+12,-2.4194796,-0.57236207,-0.6981322,2.582415234
