time,time_milisec,ax,ay,az,resultant
49:28.6,1.42163E+12,5.377717,-13.730348,-10.857073,18.31169928
49:28.6,1.42163E+12,3.1838791,-10.559491,-7.938741,13.58909655
49:28.6,1.42163E+12,0.57166123,-6.60232,-6.2122316,9.0834601
49:28.6,1.42163E+12,2.2643414,-3.0537996,-9.184751,9.940451947
49:28.6,1.42163E+12,4.2299037,-1.5344591,-2.5795858,5.186609002
49:28.7,1.42163E+12,2.4559429,-0.32272887,0.40850052,2.510514315
49:28.7,1.42163E+12,-0.12888199,-0.24174729,-0.92283094,0.962636621
49:28.7,1.42163E+12,-1.3847704,-1.4061759,-2.184108,2.943679242
49:28.7,1.42163E+12,-1.0244696,-6.344257,-1.1546988,6.529354039
49:28.7,1.42163E+12,3.9149587,-15.883321,-0.42691222,16.36426111
49:28.8,1.42163E+12,1.2243041,-19.078127,-5.226681,19.81898193
49:28.8,1.42163E+12,-5.9878483,-19.512672,-3.6000137,20.72580021
49:28.8,1.42163E+12,-8.311466,-19.5718,-2.7830126,21.44483578
49:28.8,1.42163E+12,-3.566783,-19.43723,6.1417284,20.69417016
49:28.9,1.42163E+12,2.1195922,-18.794167,6.2695622,19.92538066
49:28.9,1.42163E+12,3.8450541,-11.989168,2.7316694,12.88357901
49:28.9,1.42163E+12,2.3730154,-8.6136875,2.3903792,9.248823015
49:28.9,1.42163E+12,-1.3196558,-4.6901965,2.9301567,5.685530136
49:28.9,1.42163E+12,-5.808222,0.4445755,1.8890717,6.123861695
49:29.0,1.42163E+12,-7.9111986,2.6473947,-0.6658154,8.368934946
49:29.0,1.42163E+12,-8.06433,4.5074267,-0.8569679,9.278184509
49:29.0,1.42163E+12,-7.5625734,3.7178187,0.18381774,8.429026117
49:29.0,1.42163E+12,-5.5818925,1.5495776,-0.49981064,5.814509893
49:29.0,1.42163E+12,6.3301864,-7.5624237,-15.214511,18.13126739
49:29.1,1.42163E+12,7.66511,-17.946331,-15.163917,24.71374287
49:29.1,1.42163E+12,1.7817448,-11.52169,-9.013656,14.73668719
49:29.1,1.42163E+12,-0.7348219,1.9935544,11.145972,11.34666974
49:29.1,1.42163E+12,-7.8005786,-11.206146,8.30518,15.98132502
49:29.1,1.42163E+12,-15.0574875,-18.366657,11.72362,26.48594505
49:29.1,1.42163E+12,-7.375313,-5.3241286,6.570586,11.22114912
49:29.2,1.42163E+12,-7.437883,-9.171877,7.6904078,14.09211848
49:29.2,1.42163E+12,-6.998846,-14.773678,13.134137,20.97023991
49:29.2,1.42163E+12,-4.4598255,-18.853146,4.113596,19.80537376
49:29.2,1.42163E+12,4.3152266,-19.012413,-11.289074,22.52856455
49:29.2,1.42163E+12,6.7970653,-18.626665,-2.1333637,19.94251705
49:29.3,1.42163E+12,6.008206,-18.66828,-2.4804919,19.76755062
49:29.3,1.42163E+12,5.1653085,-16.543747,-8.884175,19.4757424
49:29.3,1.42163E+12,3.348387,-12.346625,-9.745634,16.08192235
49:29.3,1.42163E+12,1.0755135,-8.051008,-7.158414,10.82674236
49:29.3,1.42163E+12,-0.084424436,-4.1959248,-8.270901,9.274735347
49:29.4,1.42163E+12,2.309697,-1.9062859,-7.1729336,7.773004734
49:29.4,1.42163E+12,3.1759455,-0.57660097,0.7276369,3.308859918
49:29.4,1.42163E+12,2.0140617,-0.14834152,1.1383827,2.318267653
49:29.4,1.42163E+12,2.0071762,-1.2250525,0.24069947,2.363777942
49:29.4,1.42163E+12,2.186054,-6.0396404,-1.3802797,6.569723
49:29.5,1.42163E+12,4.7316604,-15.899936,0.3221301,16.59217716
49:29.5,1.42163E+12,-1.0984159,-19.080372,-3.9924974,19.52452685
49:29.5,1.42163E+12,-8.033943,-19.512972,-2.7783723,21.28425871
49:29.5,1.42163E+12,-8.813373,-17.750238,-3.4298177,20.1124375
49:29.5,1.42163E+12,-2.9312046,-19.150726,-2.1962328,19.49783848
49:29.6,1.42163E+12,2.3221211,-19.522552,6.4421535,20.68873183
49:29.6,1.42163E+12,2.669848,-14.887741,4.5708947,15.80082272
49:29.6,1.42163E+12,2.4071443,-8.945548,3.1702573,9.791205444
49:29.6,1.42163E+12,-0.27318192,-6.1296034,3.15454,6.899115075
49:29.6,1.42163E+12,-4.36148,-1.4187497,3.3563204,5.683330461
49:29.7,1.42163E+12,-7.6011934,2.6403594,1.6040643,8.205038766
49:29.7,1.42163E+12,-8.2936535,5.281467,-0.43739045,9.842250376
49:29.7,1.42163E+12,-7.5910144,6.5147524,1.1187735,10.06564219
49:29.7,1.42163E+12,-5.7348742,4.5614643,2.0227437,7.601791284
49:29.7,1.42163E+12,0.6797365,-0.7831714,-1.1032059,1.514087979
49:29.8,1.42163E+12,11.524983,-14.54196,-16.666042,24.94094605
49:29.8,1.42163E+12,4.78959,-18.128202,-18.189425,26.12330496
49:29.9,1.42163E+12,0.7734416,-4.942123,3.9064264,6.346885762
49:29.9,1.42163E+12,-6.2932134,-6.2641735,10.484797,13.73955504
49:29.9,1.42163E+12,-15.241755,-17.762962,10.55994,25.67773836
49:29.9,1.42163E+12,-8.059839,-6.21777,6.291716,11.96692771
49:29.9,1.42163E+12,-10.437196,-4.983587,5.940247,13.00222035
49:29.9,1.42163E+12,-9.010063,-16.86438,13.641882,23.48807128
49:29.9,1.42163E+12,-6.1623855,-19.208206,11.645483,23.29264792
49:29.9,1.42163E+12,3.0600865,-19.530487,-13.008698,23.66495881
