time,time_milisec,gx,gy,gz,resultant,MA_x,MA_y,MA_z,MA_R
00:42.2,1.42E+12,0.028777853,0.06608235,-0.08953201,0.114939213,0.057726131,-0.009784821,-0.082518414,0.131658078
00:42.2,1.42E+12,-0.002132127,0.06288496,-0.067148946,0.092021982,0.056894767,-0.010999883,-0.084692746,0.130773123
00:42.2,1.42E+12,-0.021317273,0.063950755,-0.041568484,0.079196364,0.0556797,-0.010978567,-0.086142305,0.130748931
00:42.2,1.42E+12,-0.002132127,0.057555705,-0.026646258,0.063460446,0.053953018,-0.009742178,-0.086611272,0.130330731
00:42.2,1.42E+12,0.027712055,0.037304495,-0.028778385,0.054660578,0.052737956,-0.008356573,-0.08646205,0.129407824
00:42.3,1.42E+12,0.036238696,-0.006395315,-0.02238307,0.043071394,0.051522894,-0.006480674,-0.085694638,0.127227114
00:42.3,1.42E+12,0.01705302,-0.026646258,-0.039436888,0.050557855,0.049220655,-0.003666827,-0.084948548,0.123705765
00:42.3,1.42E+12,0.023448335,-0.053292517,-0.069280535,0.090497013,0.047643196,-0.001343272,-0.084628793,0.121204766
00:42.3,1.42E+12,0.030909447,-0.08846568,-0.10019025,0.137184754,0.047238177,-0.001407219,-0.08477801,0.121229136
00:42.3,1.42E+12,0.058621503,-0.07887298,-0.1332313,0.165553637,0.047323441,-0.001684332,-0.08573727,0.122135816
00:42.7,1.42E+12,0.08953121,-0.046897735,-0.14921932,0.180226637,0.048240079,-0.001705648,-0.0875279,0.123999909
00:42.7,1.42E+12,0.08633356,0.019185146,-0.14602192,0.170716005,0.04930593,-0.000767693,-0.089361161,0.126026485
00:42.7,1.42E+12,0.038370293,0.09059701,-0.11937566,0.154695332,0.049412515,0.002472489,-0.090533602,0.127132186
00:42.7,1.42E+12,0.018119348,0.12150646,-0.074609786,0.143731523,0.048495886,0.007716467,-0.090299116,0.126466329
00:42.7,1.42E+12,0.02131674,0.07780665,-0.014922224,0.082042373,0.046918427,0.013642591,-0.088401901,0.122822014
00:42.7,1.42E+12,0.015987223,0.002131594,0.030909447,0.034864436,0.045042523,0.018652088,-0.084841958,0.117343177
00:42.7,1.42E+12,0.027712055,-0.062885754,0.012789832,0.069901043,0.043827461,0.02071983,-0.080727779,0.113348961
00:42.7,1.42E+12,0.087399356,-0.110848755,-0.007461112,0.141356861,0.044616188,0.019206318,-0.076293839,0.111441079
00:42.7,1.42E+12,0.1065845,-0.11937566,-0.034107372,0.163627983,0.045895208,0.015944819,-0.072371509,0.109950015
00:42.7,1.42E+12,0.054358315,-0.027712587,-0.07141213,0.093928197,0.045618096,0.014175506,-0.070111907,0.107713019
00:42.7,1.42E+12,0.022382537,0.09699179,-0.099124454,0.140477908,0.044680152,0.014367354,-0.069237917,0.10689838
00:42.7,1.42E+12,0.010658237,0.13536288,-0.10019025,0.168744758,0.043273225,0.015625059,-0.069237917,0.107316734
00:42.7,1.42E+12,-0.014922224,0.10871663,-0.06395155,0.127010941,0.040992302,0.017117255,-0.069429771,0.107495283
00:42.7,1.42E+12,0.013855628,0.006394783,-0.03837109,0.041294215,0.039521428,0.016861447,-0.069515045,0.106405961
00:42.7,1.42E+12,0.07460926,-0.07674138,-0.02238307,0.109347075,0.039649334,0.014452634,-0.069195285,0.106800127
00:42.7,1.42E+12,0.04369928,-0.08953201,-0.021317273,0.101882452,0.038711379,0.011532196,-0.068704991,0.10651403
00:42.7,1.42E+12,0.005328985,-0.027712587,-0.07141213,0.076785922,0.036792849,0.01014659,-0.069642941,0.105806401
00:42.7,1.42E+12,0.040501885,-0.017053818,-0.11830986,0.126207996,0.036259924,0.009507086,-0.071753325,0.106931258
00:42.7,1.42E+12,0.06714814,-0.06608315,-0.12470465,0.156291731,0.036622311,0.008505183,-0.074119512,0.109017797
00:42.8,1.42E+12,0.07780665,-0.12577072,-0.10978296,0.184185904,0.03809318,0.006117675,-0.075888826,0.112248304
00:42.8,1.42E+12,0.03410684,-0.15668015,-0.08633409,0.182114033,0.038690053,0.003239885,-0.076741506,0.114975932
00:42.8,1.42E+12,0.006394783,-0.2717921,-0.05968783,0.278342372,0.03819976,-0.002728872,-0.076165949,0.118594286
00:42.8,1.42E+12,0.001065797,-0.26752838,-0.04263428,0.270906353,0.036771522,-0.008932109,-0.074652437,0.12110946
00:42.8,1.42E+12,-0.013856427,-0.19398493,-0.061819427,0.204068114,0.035002209,-0.013536582,-0.07333078,0.122141968
00:42.8,1.42E+12,0.023448335,-0.025580462,-0.10871716,0.114121012,0.034106897,-0.014410578,-0.07301103,0.121558541
00:42.9,1.42E+12,-0.010659036,0.20464262,-0.10658503,0.230981786,0.032593385,-0.009934012,-0.073138926,0.12375881
00:42.9,1.42E+12,-0.073543996,0.34746662,-0.07993878,0.36404942,0.029758226,-0.001940145,-0.073202874,0.128735888
00:42.9,1.42E+12,-0.007461112,0.20890635,-0.003197924,0.209064005,0.028500522,0.003154621,-0.071945169,0.130963773
00:42.9,1.42E+12,-0.027712587,0.03304104,0.063950755,0.077132333,0.027285449,0.004668127,-0.069493713,0.130913192
00:42.9,1.42E+12,-0.01811988,-0.12044146,0.071411334,0.141188009,0.026347494,0.002984088,-0.0670849,0.132388569
00:43.0,1.42E+12,0.060753096,-0.30376735,0.045831405,0.313155008,0.027477293,-0.00247306,-0.065081095,0.137398117
00:43.0,1.42E+12,0.09272861,-0.35386246,-0.014922224,0.366114611,0.02975821,-0.01010455,-0.063738121,0.142936255
00:43.0,1.42E+12,0.07247766,-0.25154117,-0.09805839,0.279537867,0.030973283,-0.016947314,-0.063375734,0.145571168
00:43.0,1.42E+12,0.006394783,-0.05649044,-0.16733865,0.176732246,0.030419042,-0.019633255,-0.0644629,0.146278679
00:43.0,1.42E+12,-0.050095126,0.047962997,-0.17906323,0.192025027,0.02815944,-0.019633255,-0.065805874,0.147378389
00:43.1,1.42E+12,-0.0831367,0.024514131,-0.13749501,0.162534708,0.025281644,-0.019995642,-0.06644539,0.148048939
00:43.1,1.42E+12,-0.057556238,-0.07141213,-0.07780718,0.120276224,0.023256534,-0.022148659,-0.066104313,0.148243447
00:43.1,1.42E+12,-0.010659036,-0.15774596,-0.036239497,0.162205746,0.022361216,-0.026284154,-0.064910567,0.149227558
00:43.1,1.42E+12,0.03304104,-0.14602192,-0.033041574,0.1533162,0.022190683,-0.030419654,-0.063503646,0.149755551
00:43.1,1.42E+12,0.06927974,-0.10658503,-0.037305295,0.132482965,0.022617018,-0.033894318,-0.062203315,0.149776211
00:43.2,1.42E+12,0.058621503,-0.020251475,-0.036239497,0.071832472,0.023213891,-0.035620994,-0.061137464,0.148914077
00:43.2,1.42E+12,0.022382537,0.09272861,-0.01811988,0.09709739,0.023704184,-0.035024121,-0.060156883,0.149015585
00:43.2,1.42E+12,0.027712055,0.082070366,0.052226186,0.101148789,0.024684771,-0.034661729,-0.05828099,0.149454633
00:43.2,1.42E+12,-0.009593239,0.004263188,0.12044066,0.120897302,0.024535549,-0.035727579,-0.055339251,0.15060337
00:43.2,1.42E+12,-0.03837109,-0.0724782,0.14921851,0.17026918,0.023213886,-0.037923233,-0.051779313,0.152915542
00:43.3,1.42E+12,-0.02238307,-0.17906323,0.13962607,0.228166785,0.022041451,-0.041376591,-0.048539131,0.15661745
00:43.3,1.42E+12,0.010658237,-0.23022388,0.09699179,0.250048076,0.021913555,-0.045448144,-0.045810557,0.160607255
00:43.4,1.42E+12,0.006394783,-0.16200967,0.03410684,0.165684347,0.021572484,-0.047622487,-0.04374281,0.162111001
00:43.4,1.42E+12,-0.023448868,-0.062885754,-0.017053818,0.069248106,0.020485318,-0.047110888,-0.042080081,0.160752268
00:43.4,1.42E+12,-0.008526909,0.014921425,-0.057556238,0.060067276,0.019142349,-0.045235,-0.04056658,0.158642541
00:43.4,1.42E+12,0.008526376,-0.04796353,-0.031975776,0.058272202,0.017522253,-0.045256316,-0.038221709,0.156203452
00:43.4,1.42E+12,-0.003197924,-0.05968783,-0.014922224,0.061607926,0.015731623,-0.046833776,-0.035599715,0.154021291
00:43.4,1.42E+12,0.041567683,-0.11298035,0.019185146,0.121903657,0.015795571,-0.050905323,-0.032828499,0.153365457
00:43.4,1.42E+12,0.06608235,-0.0937952,0.028777853,0.118290242,0.016754831,-0.055211356,-0.030760746,0.152856632
00:43.4,1.42E+12,0.036238696,-0.01279063,0.075675055,0.084873772,0.01705327,-0.057023302,-0.0289488,0.15291326
00:43.5,1.42E+12,-0.049029328,0.0948602,0.11084822,0.153914458,0.015752939,-0.05516873,-0.027350025,0.15529426
00:43.5,1.42E+12,-0.04476614,0.08953121,0.112979814,0.150944636,0.014303375,-0.05212039,-0.025346225,0.156915132
00:43.5,1.42E+12,-0.010659036,-0.05968783,0.12470385,0.138662548,0.012342207,-0.051097172,-0.022702926,0.156861246
00:43.5,1.42E+12,0.011724034,-0.17906323,0.11617721,0.213771461,0.010444998,-0.052290923,-0.019697234,0.157864115
00:43.5,1.42E+12,0.028777853,-0.24408005,0.08420196,0.259794545,0.009933389,-0.056618273,-0.016584953,0.161181442
00:43.6,1.42E+12,0.031975243,-0.25260696,0.038370293,0.257497518,0.010125243,-0.063610248,-0.013835058,0.163521834
00:43.6,1.42E+12,0.02131674,-0.18865593,0.001065797,0.18985942,0.010338413,-0.070090624,-0.011809937,0.163944128
00:43.6,1.42E+12,0.005328985,-0.08633409,-0.013856427,0.08760122,0.010743437,-0.073991638,-0.010808034,0.163155933
00:43.6,1.42E+12,-0.005329518,-0.013856427,0.005328985,0.015773472,0.010359734,-0.074396662,-0.009934033,0.162645518
00:43.7,1.42E+12,-0.025580462,-0.008526909,0.041567683,0.049547356,0.00835594,-0.073032373,-0.008655018,0.161449524
00:43.7,1.42E+12,-0.041568484,-0.004263721,0.070345536,0.081820612,0.006650584,-0.071327007,-0.006821762,0.161048287
