time,time_milisec,ax,ay,az,resultant,MA_x,Ma_y,Ma_z,Ma_R,,,
55:30.7,1.42E+12,-2.2664368,-11.447295,0.99049026,11.71146317,-3.90395213,-8.858419618,-0.093198024,10.60879262,,,
55:30.7,1.42E+12,-1.5353572,-12.46413,-0.81954575,12.5850512,-3.898529732,-8.822567618,-0.03468806,10.56357049,,,
55:30.7,1.42E+12,-1.4157559,-13.346097,-2.5346792,13.6582308,-3.897967634,-8.805280108,-0.10313552,10.55067961,,,
55:30.7,1.42E+12,-1.8652711,-14.181509,-2.7900481,14.57322209,-3.861171701,-8.857075445,-0.239630248,10.5865618,,,
55:30.8,1.42E+12,-1.8944604,-14.590459,-3.7012033,15.17133415,-3.792748677,-8.948202282,-0.382915961,10.65378325,,,
55:30.8,1.42E+12,-1.7702188,-15.038926,-1.3079801,15.19913753,-3.692047877,-9.033271302,-0.455261438,10.69935228,,,
55:30.8,1.42E+12,-3.7616775,-12.823683,1.739832,13.47679779,-3.575373152,-9.059527935,-0.406808116,10.66938845,,,
55:30.9,1.42E+12,-5.5703664,-9.971214,5.284012,12.58470791,-3.513145405,-9.022444833,-0.246005769,10.62352033,,,
55:30.9,1.42E+12,-6.838529,-10.9350605,5.0156198,13.83826105,-3.526458528,-9.041989904,-0.20031711,10.65974041,,,
55:30.9,1.42E+12,-8.643176,-11.727962,2.5095315,14.78334645,-3.631262005,-9.0818957,-0.177781318,10.74761017,,,
55:30.9,1.42E+12,-9.144484,-12.177776,-1.8200651,15.33728962,-3.74237075,-9.158023088,-0.221948654,10.8722736,,,
55:30.9,1.42E+12,-7.1326675,-11.032957,-3.3846116,13.56674911,-3.82099093,-9.236078118,-0.319402119,10.98504988,,,
55:30.9,1.42E+12,-5.76107,-9.193881,1.5572118,10.96094357,-3.870278236,-9.314301159,-0.33238227,11.07222775,,,
55:30.9,1.42E+12,-3.7738023,-8.605156,2.5204587,9.728463684,-3.877768779,-9.398750043,-0.339683415,11.14194446,,,
55:31.0,1.42E+12,-3.1451097,-7.3832464,1.7413288,8.211958866,-3.867709087,-9.475030194,-0.353729717,11.19331989,,,
55:31.0,1.42E+12,-3.1641202,-5.313051,1.9098784,6.472078729,-3.852770762,-9.513940088,-0.348203454,11.2146144,,,
55:31.0,1.42E+12,-2.8455825,-4.4110274,2.8999195,5.997002217,-3.830583228,-9.550668814,-0.316457227,11.23682956,,,
55:31.0,1.42E+12,-2.9711714,-3.4795144,2.205813,5.079418366,-3.817224277,-9.596623255,-0.294065017,11.25915886,,,
55:31.0,1.42E+12,-3.315755,-3.09691,1.5899936,4.807615045,-3.818003271,-9.618276188,-0.262523465,11.27852467,,,
55:31.1,1.42E+12,-3.3391063,-2.4502547,1.6831,4.470593315,-3.830662658,-9.586487192,-0.203320049,11.26784616,,,
55:31.1,1.42E+12,-3.4814603,-1.2903168,1.9531385,4.195263194,-3.819845358,-9.430261045,-0.021240516,11.10799171,,,
55:31.1,1.42E+12,-3.599415,-1.8004559,1.229094,4.208099553,-3.777413189,-9.1066829,0.356243872,10.67671677,,,
55:31.1,1.42E+12,-3.2424073,-3.8296363,0.032931518,5.018007949,-3.756817236,-8.860612967,0.647058515,10.33546569,,,
55:31.1,1.42E+12,-3.5822008,-8.254584,-4.627627,10.11855974,-3.740412575,-8.878468682,0.70973227,10.30663891,,,
55:31.2,1.42E+12,-5.75628,-16.50438,-14.550043,22.74275863,-3.715005213,-9.098361433,0.442922819,10.58370423,,,
