time,time_milisec,ax,ay,az,resultant,MA_ax,MA_ay,MA_az,MA_R
41:19.4,1.42E+12,3.5545084,-8.067923,-6.2516,10.80779413,1.781705928,-2.968566838,-8.20509153,9.343034195
41:19.5,1.42E+12,3.6148329,-8.266859,-6.395151,11.05920119,1.858508216,-3.10636728,-8.15446679,9.383523078
41:19.5,1.42E+12,3.2064822,-8.343948,-6.611601,11.11828512,1.932649042,-3.25321789,-8.10906021,9.426844566
41:19.5,1.42E+12,2.482737,-7.509434,-6.468948,10.21777227,1.99197068,-3.387374908,-8.06432723,9.456084533
41:19.5,1.42E+12,2.2667363,-7.3462734,-6.4417043,10.03002396,2.046616044,-3.51928061,-8.022426356,9.485037968
41:19.5,1.42E+12,2.1209395,-7.024742,-5.9148,9.424979765,2.091241246,-3.649776244,-7.960437256,9.492961901
41:19.6,1.42E+12,2.0291803,-6.877149,-5.6603293,9.135210936,2.137111858,-3.777855903,-7.882482362,9.484197537
41:19.6,1.42E+12,2.251468,-6.8446665,-5.566774,9.105357786,2.18970948,-3.905214061,-7.812637622,9.484715953
41:19.6,1.42E+12,2.387086,-6.9365754,-5.883066,9.403442104,2.241690384,-4.033335632,-7.752684282,9.49480303
41:19.6,1.42E+12,2.4819887,-7.3449264,-6.4816713,10.10545766,2.29647945,-4.166217308,-7.707547148,9.52150484
41:19.6,1.42E+12,2.6797276,-7.8348575,-6.935827,10.80146417,2.35010394,-4.305305076,-7.657117008,9.547569501
41:19.7,1.42E+12,2.657424,-7.80941,-7.249724,10.98213481,2.394531556,-4.43549534,-7.609138768,9.572300892
41:19.7,1.42E+12,2.6560767,-7.7351646,-7.1885014,10.888621,2.435534292,-4.564730592,-7.562846016,9.597929234
41:19.7,1.42E+12,2.6596692,-7.888446,-7.040609,10.90282512,2.47565087,-4.701806544,-7.515729996,9.626470011
41:19.7,1.42E+12,2.5206084,-7.817793,-6.9630704,10.768273,2.510884602,-4.842211574,-7.472449004,9.657969918
